system:index,0_Rain_jun-oct_2019,0_Temp_jun-oct_2019,1_Rain_may-sep_2019,1_Temp_may-sep_2019,2_Rain_jun-oct_2020,2_Temp_jun-oct_2020,3_Rain_may-sep_2020,3_Temp_may-sep_2020,Map,UNIQUE_ID,elevation,lat,lon,.geo
632,787.7625122070312,30.3686466217041,618.1331787109375,31.50139808654785,589.1688842773438,31.28118324279785,562.34716796875,31.995141983032227,40.0,632.0,131.0,11.116666666666665,78.825,"{""type"":""Point"",""coordinates"":[78.825,11.116666666666665]}"
633,787.7625122070312,30.3686466217041,618.1331787109375,31.50139808654785,589.1688842773438,31.28118324279785,562.34716796875,31.995141983032227,60.0,633.0,145.0,11.1375,78.825,"{""type"":""Point"",""coordinates"":[78.825,11.137500000000001]}"
634,787.7625122070312,28.840112686157227,618.1331787109375,29.933374404907227,589.1688842773438,29.43731117248535,562.34716796875,30.243494033813477,40.0,634.0,157.0,11.158333333333333,78.825,"{""type"":""Point"",""coordinates"":[78.825,11.158333333333333]}"
635,838.6693725585938,28.840112686157227,671.0636596679688,29.933374404907227,625.4657592773438,29.43731117248535,583.7305908203125,30.243494033813477,10.0,635.0,296.0,11.179166666666665,78.825,"{""type"":""Point"",""coordinates"":[78.825,11.179166666666665]}"
636,838.6693725585938,28.840112686157227,671.0636596679688,29.933374404907227,625.4657592773438,29.43731117248535,583.7305908203125,30.243494033813477,60.0,636.0,156.0,11.2,78.825,"{""type"":""Point"",""coordinates"":[78.825,11.2]}"
638,1005.2266845703125,30.470727920532227,680.240966796875,31.519433975219727,1099.961669921875,31.27361488342285,1071.8787841796875,31.75213050842285,10.0,638.0,106.0,10.220833333333333,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.220833333333333]}"
639,1018.64453125,30.470727920532227,683.7092895507812,31.519433975219727,1132.70703125,31.27361488342285,1101.4239501953125,31.75213050842285,20.0,639.0,114.0,10.241666666666665,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.241666666666667]}"
640,1018.64453125,30.470727920532227,683.7092895507812,31.519433975219727,1132.70703125,31.27361488342285,1101.4239501953125,31.75213050842285,20.0,640.0,103.0,10.2625,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.262500000000001]}"
641,973.6810302734375,30.470727920532227,659.705810546875,31.519433975219727,1075.910400390625,31.27361488342285,1044.301025390625,31.75213050842285,10.0,641.0,85.0,10.283333333333333,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.283333333333333]}"
642,973.6810302734375,30.758508682250977,659.705810546875,31.819055557250977,1075.910400390625,31.5552921295166,1044.301025390625,32.042381286621094,10.0,642.0,71.0,10.304166666666665,78.85208333333333,"{""type"":""Point"",""coordinates"":[78.85208333333333,10.304166666666664]}"
